cohort_month,cohort_size,t0_mrr,avg_t0_mrr_per_customer,t0_nrr_pct,t1_nrr_pct,t2_nrr_pct,t3_nrr_pct,t4_nrr_pct,t5_nrr_pct,t6_nrr_pct,t7_nrr_pct,t8_nrr_pct,t9_nrr_pct,t10_nrr_pct,t11_nrr_pct,t12_nrr_pct,t1_grr_pct,t3_grr_pct,t6_grr_pct,t12_grr_pct,t1_logo_ret_pct,t3_logo_ret_pct,t6_logo_ret_pct,t12_logo_ret_pct,t3_mrr_retained,t6_mrr_retained,t12_mrr_retained,t12_grr_mrr
2023-01-01,65,33935.0,522.08,100.0,98.68,101.78,101.49,100.9,98.99,100.17,97.67,93.11,96.06,90.91,79.58,75.45,98.24,97.51,92.66,69.26,95.38,92.31,87.69,69.23,34440.0,33993.0,25605.0,23505.0
2023-02-01,83,36167.0,435.75,100.0,100.28,99.87,97.39,98.5,99.47,95.61,94.92,98.25,89.96,86.38,86.24,85.97,99.45,95.73,90.21,73.12,98.8,91.57,86.75,67.47,35224.0,34578.0,31094.0,26444.0
2023-03-01,118,49132.0,416.37,100.0,100.82,100.12,98.91,97.18,90.18,86.83,87.34,81.45,81.45,81.66,83.9,87.57,97.16,94.02,80.72,72.61,96.61,88.14,76.27,64.41,48596.0,42660.0,43024.0,35674.0
2023-04-01,142,62008.0,436.68,100.0,101.13,100.18,98.98,93.42,92.94,94.72,92.71,92.48,93.12,85.63,84.26,81.6,99.92,95.11,88.92,72.17,99.3,88.73,80.99,69.72,61374.0,58735.0,50601.0,44751.0
2023-05-01,152,55748.0,366.76,100.0,101.8,101.54,99.04,98.15,93.32,92.07,90.28,90.47,91.01,91.47,90.84,89.77,99.11,90.7,81.04,73.63,97.37,90.79,80.92,67.76,55212.0,51327.0,50047.0,41047.0
2023-06-01,146,69554.0,476.4,100.0,100.58,103.1,97.5,97.86,97.65,98.73,98.95,99.45,98.96,93.93,91.21,90.35,99.5,93.4,92.04,78.05,97.26,94.52,89.73,75.34,67812.0,68669.0,62840.0,54290.0
2023-07-01,270,122880.0,455.11,100.0,100.05,98.95,99.24,96.61,95.07,94.14,92.72,92.28,89.47,86.8,86.84,95.23,99.19,95.34,87.06,77.07,97.04,91.85,81.85,67.41,121952.0,115679.0,117018.0,94708.0
2023-08-01,256,131194.0,512.48,100.0,99.51,97.8,94.11,89.77,89.92,91.45,88.98,89.86,86.59,84.61,93.58,91.79,98.94,92.39,84.13,71.88,97.27,92.19,87.11,70.7,123464.0,119977.0,120419.0,94299.0
2023-09-01,287,125663.0,437.85,100.0,100.24,100.45,98.54,94.53,94.5,95.46,96.89,92.32,89.82,99.12,99.1,96.72,99.53,93.89,85.31,71.41,97.91,93.38,86.06,71.43,123832.0,119953.0,121545.0,89735.0
2023-10-01,333,147567.0,443.14,100.0,99.43,97.24,94.87,93.96,91.63,90.18,88.63,85.46,92.05,90.96,89.45,87.13,98.62,90.3,83.17,68.71,96.7,90.39,80.18,66.67,139999.0,133083.0,128568.0,101388.0
