cohort_month,cohort_size,total_t0_mrr,tenure_months,retained_logos,nrr_mrr_at_tn,grr_mrr_at_tn,nrr_pct,grr_pct,logo_ret_pct
2023-01-01,65,33935.0,0,65,33935.0,33935.0,100.0,100.0,100.0
2023-01-01,65,33935.0,1,62,33488.0,33338.0,98.68,98.24,95.38
2023-01-01,65,33935.0,2,62,34538.0,33188.0,101.78,97.8,95.38
2023-01-01,65,33935.0,3,60,34440.0,33090.0,101.49,97.51,92.31
2023-01-01,65,33935.0,4,59,34241.0,32891.0,100.9,96.92,90.77
2023-01-01,65,33935.0,5,58,33592.0,31642.0,98.99,93.24,89.23
2023-01-01,65,33935.0,6,57,33993.0,31443.0,100.17,92.66,87.69
2023-01-01,65,33935.0,7,55,33145.0,30595.0,97.67,90.16,84.62
2023-01-01,65,33935.0,8,54,31596.0,29046.0,93.11,85.59,83.08
2023-01-01,65,33935.0,9,53,32597.0,28847.0,96.06,85.01,81.54
2023-01-01,65,33935.0,10,48,30852.0,27102.0,90.91,79.86,73.85
2023-01-01,65,33935.0,11,46,27004.0,24904.0,79.58,73.39,70.77
2023-01-01,65,33935.0,12,45,25605.0,23505.0,75.45,69.26,69.23
2023-02-01,83,36167.0,0,83,36167.0,36167.0,100.0,100.0,100.0
2023-02-01,83,36167.0,1,82,36268.0,35968.0,100.28,99.45,98.8
2023-02-01,83,36167.0,2,79,36121.0,35671.0,99.87,98.63,95.18
2023-02-01,83,36167.0,3,76,35224.0,34624.0,97.39,95.73,91.57
2023-02-01,83,36167.0,4,75,35625.0,34425.0,98.5,95.18,90.36
2023-02-01,83,36167.0,5,73,35977.0,34027.0,99.47,94.08,87.95
2023-02-01,83,36167.0,6,72,34578.0,32628.0,95.61,90.21,86.75
2023-02-01,83,36167.0,7,70,34330.0,32380.0,94.92,89.53,84.34
2023-02-01,83,36167.0,8,67,35533.0,32083.0,98.25,88.71,80.72
2023-02-01,83,36167.0,9,64,32536.0,29086.0,89.96,80.42,77.11
