calendar_month,active_customer_count,churned_candidates,beginning_mrr,new_mrr,expansion_mrr,contraction_mrr,voluntary_churn_mrr,involuntary_churn_mrr,unclassified_churn_mrr,ending_mrr,net_new_mrr,involuntary_churn_rate_pct,grr_pct,nrr_pct
2023-01-01,65,0,0.0,33935.0,0.0,0.0,0.0,0.0,0.0,33935.0,33935.0,,,
2023-02-01,145,65,33935.0,36167.0,150.0,0.0,0.0,-597.0,0.0,69655.0,35720.0,1.76,98.24,98.68
2023-03-01,262,145,69655.0,49132.0,1500.0,-150.0,0.0,-199.0,0.0,119938.0,50283.0,0.29,99.5,101.65
2023-04-01,395,262,119938.0,62008.0,1950.0,0.0,0.0,-1791.0,0.0,182105.0,62167.0,1.49,98.51,100.13
2023-05-01,538,395,182105.0,55748.0,1650.0,-600.0,0.0,-1791.0,0.0,237112.0,55007.0,0.98,98.69,99.59
2023-06-01,663,538,237112.0,69554.0,3000.0,-1350.0,-248.0,-1831.0,0.0,306237.0,69125.0,0.77,98.55,99.82
2023-07-01,915,663,306237.0,122880.0,5700.0,-3600.0,-1197.0,-1485.0,0.0,428535.0,122298.0,0.48,97.95,99.81
2023-08-01,1137,915,428535.0,131194.0,4950.0,-6750.0,-346.0,-6570.0,0.0,551013.0,122478.0,1.53,96.81,97.97
2023-09-01,1395,1137,551013.0,125663.0,4050.0,-8850.0,-2143.0,-3178.0,0.0,666555.0,115542.0,0.58,97.43,98.16
2023-10-01,1688,1395,666555.0,147567.0,9300.0,-4500.0,-1041.0,-4219.0,0.0,813662.0,147107.0,0.63,98.54,99.93
2023-11-01,2023,1688,813662.0,197858.0,7950.0,-10800.0,-2192.0,-13351.0,0.0,993127.0,179465.0,1.64,96.76,97.74
2023-12-01,2452,2023,993127.0,228668.0,18300.0,-11550.0,-3738.0,-20309.0,0.0,1204498.0,211371.0,2.04,96.42,98.26
2024-01-01,2951,2452,1204498.0,239026.0,16050.0,-11700.0,-1485.0,-17490.0,0.0,1428899.0,224401.0,1.45,97.45,98.79
2024-02-01,3434,2951,1428899.0,251384.0,24000.0,-14850.0,-2287.0,-16180.0,0.0,1670966.0,242067.0,1.13,97.67,99.35
2024-03-01,3964,3434,1670966.0,280733.0,18300.0,-10650.0,-8125.0,-15188.0,0.0,1936036.0,265070.0,0.91,97.97,99.06
2024-04-01,4464,3964,1936036.0,292289.0,21150.0,-23550.0,-5719.0,-16820.0,0.0,2203386.0,267350.0,0.87,97.62,98.71
2024-05-01,5077,4464,2203386.0,351548.0,21150.0,-26100.0,-10014.0,-29947.0,0.0,2510023.0,306637.0,1.36,97.0,97.96
2024-06-01,5755,5077,2510023.0,372718.0,28050.0,-34800.0,-12267.0,-34129.0,0.0,2829595.0,319572.0,1.36,96.77,97.88
2024-07-01,6501,5755,2829595.0,434791.0,347320.0,-24650.0,-7311.0,-27336.0,0.0,3552409.0,722814.0,0.97,97.9,110.18
2024-08-01,7115,6501,3552409.0,443034.0,41380.0,-29350.0,-17472.0,-57476.0,0.0,3932525.0,380116.0,1.62,97.06,98.23
2024-09-01,7815,7115,3932525.0,461576.0,48020.0,-38660.0,-26467.0,-49109.0,0.0,4327885.0,395360.0,1.25,97.1,98.32
2024-10-01,8470,7815,4327885.0,420020.0,61330.0,-39980.0,-15849.0,-59676.0,0.0,4693730.0,365845.0,1.38,97.33,98.75
2024-11-01,9205,8470,4693730.0,508082.0,48950.0,-41450.0,-19370.0,-62287.0,0.0,5127655.0,433925.0,1.33,97.38,98.42
2024-12-01,9971,9205,5127655.0,528125.0,71630.0,-62310.0,-25907.0,-75104.0,0.0,5564089.0,436434.0,1.46,96.81,98.21
2025-01-01,10641,9971,5564089.0,489525.0,65010.0,-52480.0,-25747.0,-77828.0,0.0,5962569.0,398480.0,1.4,97.2,98.36
2025-02-01,11320,10641,5962569.0,519612.0,61730.0,-71570.0,-33865.0,-81856.0,0.0,6356620.0,394051.0,1.37,96.86,97.89
2025-03-01,11965,11320,6356620.0,549902.0,76070.0,-51150.0,-26163.0,-70644.0,0.0,6834635.0,478015.0,1.11,97.67,98.87
2025-04-01,12575,11965,6834635.0,549259.0,74040.0,-66930.0,-35094.0,-89455.0,0.0,7266455.0,431820.0,1.31,97.2,98.28
2025-05-01,13315,12575,7266455.0,567643.0,81590.0,-78870.0,-40271.0,-90132.0,0.0,7706415.0,439960.0,1.24,97.12,98.24
2025-06-01,13889,13315,7706415.0,527104.0,82350.0,-69560.0,-52262.0,-104016.0,0.0,8090031.0,383616.0,1.35,97.07,98.14
2025-07-01,14525,13889,8090031.0,563852.0,93370.0,-90010.0,-36953.0,-118285.0,0.0,8502005.0,411974.0,1.46,96.97,98.12
2025-08-01,15106,14525,8502005.0,530174.0,92690.0,-79420.0,-52650.0,-127645.0,0.0,8865154.0,363149.0,1.5,96.95,98.04
2025-09-01,15642,15106,8865154.0,540024.0,95200.0,-96550.0,-51678.0,-121642.0,0.0,9230508.0,365354.0,1.37,96.96,98.03
2025-10-01,16190,15642,9230508.0,539634.0,109150.0,-97520.0,-49913.0,-126859.0,0.0,9605000.0,374492.0,1.37,97.03,98.21
2025-11-01,16722,16190,9605000.0,566434.0,108070.0,-92150.0,-53762.0,-132354.0,0.0,10001238.0,396238.0,1.38,97.1,98.23
2025-12-01,17302,16722,10001238.0,561657.0,121360.0,-120670.0,-55594.0,-131463.0,0.0,10376528.0,375290.0,1.31,96.92,98.14
2026-01-01,16779,17302,10376528.0,0.0,0.0,0.0,-49419.0,-144938.0,0.0,10182171.0,-194357.0,1.4,98.13,98.13
